br;Breton;2;n > 1
cgg;Chiga;1;0
cy;Welsh;2;(n==2) ? 1 : 0
cy;Welsh;4;(n==1) ? 0 : (n==2) ? 1 : (n != 8 && n != 11) ? 2 : 3
dsb;Lower Sorbian;3;n%10==1 && n%100!=11 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2
fil;Filipino;2;(n > 1)
ga;Irish;3;n==1 ? 0 : n==2 ? 1 : 2
he;Hebrew;2;(n != 1)
he;Hebrew;3;n==1 ? 0 : n==2 ? 2 : 1
hsb;Upper Sorbian;3;n%10==1 && n%100!=11 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2
jv;Javanese;2;(n != 1)
ka;Georgian;1;0
kw;Cornish;3;(n == 1) ? 0 : ((n == 2) ? 1 : 2)
kw;Cornish;4;(n==1) ? 0 : (n==2) ? 1 : (n == 3) ? 2 : 3
lt;Lithuanian;4;n==1 ? 0 : n%10>=2 && (n%100<10 || n%100>=20) ? 1 : n%10==0 || (n%100>10 && n%100<20) ? 2 : 3
lt;Lithuanian;3;(n%10==1 && n%100!=11 ? 0 : n%10>=2 && (n%100<10 || n%100>=20) ? 1 : 2)
lv;Latvian;3;n%10==1 && n%100!=11 ? 0 : n != 0 ? 1 : 2
lv;Latvian;3;(n%10==1 && n%100!=11 ? 0 : n%10>=2 && (n%100<10 || n%100>=20) ? 1 : 2)
se;Northern Sami;2;(n != 1)
sl;Slovenian;4;(n%100==1 ? 1 : n%100==2 ? 2 : n%100==3 || n%100==4 ? 3 : 0)
ro_MD;Moldavian;3;(n == 1) ? 0 : ((n == 0 || n != 1 && n % 100 >= 1 && n % 100 <= 19) ? 1 : 2)
